feature,coefficient,abs_coefficient
cat__Contract_Two year,-0.8829121246640925,0.8829121246640925
num__MonthlyCharges,-0.8292899052776314,0.8292899052776314
cat__InternetService_Fiber optic,0.7682844418093945,0.7682844418093945
cat__Contract_Month-to-month,0.7502315881277252,0.7502315881277252
cat__InternetService_DSL,-0.6654849915092996,0.6654849915092996
num__monthly_to_total_ratio,0.40100929375501476,0.40100929375501476
num__total_services,0.2786442800878724,0.2786442800878724
num__avg_monthly_charge_from_total,0.2740677843925851,0.2740677843925851
cat__has_streaming_bundle_No,-0.2521166701588771,0.2521166701588771
cat__PaymentMethod_Electronic check,0.2433103131081981,0.2433103131081981
cat__OnlineSecurity_No,0.23669510528597762,0.23669510528597762
cat__PaperlessBilling_No,-0.23304269259741572,0.23304269259741572
cat__OnlineBackup_No internet service,-0.22548320312630635,0.22548320312630635
cat__TechSupport_No internet service,-0.22548320312630635,0.22548320312630635
cat__DeviceProtection_No internet service,-0.22548320312630635,0.22548320312630635
